Localidade;Variável;2025
Abranches;População Estimada - Total (Habitante);14.568
Água Verde;População Estimada - Total (Habitante);50.397
Ahú;População Estimada - Total (Habitante);12.259
Alto Boqueirão;População Estimada - Total (Habitante);51.887
Alto da Glória;População Estimada - Total (Habitante);6.596
Alto da Rua XV;População Estimada - Total (Habitante);8.206
Atuba;População Estimada - Total (Habitante);21.662
Augusta;População Estimada - Total (Habitante);7.812
Bacacheri;População Estimada - Total (Habitante);24.678
Bairro Alto;População Estimada - Total (Habitante);43.062
Barreirinha;População Estimada - Total (Habitante);15.918
Batel;População Estimada - Total (Habitante);9.937
Bigorrilho;População Estimada - Total (Habitante);25.594
Boa Vista;População Estimada - Total (Habitante);33.057
Bom Retiro;População Estimada - Total (Habitante);5.092
Boqueirão;População Estimada - Total (Habitante);65.513
Butiatuvinha;População Estimada - Total (Habitante);14.017
Cabral;População Estimada - Total (Habitante);14.255
Cachoeira;População Estimada - Total (Habitante);12.386
Cajuru;População Estimada - Total (Habitante);90.816
Campina do Siqueira;População Estimada - Total (Habitante);6.958
Campo Comprido;População Estimada - Total (Habitante);34.224
Campo de Santana;População Estimada - Total (Habitante);46.322
Capão da Imbuia;População Estimada - Total (Habitante);18.066
Capão Raso;População Estimada - Total (Habitante);39.308
Cascatinha;População Estimada - Total (Habitante);2.216
Caximba;População Estimada - Total (Habitante);9.749
Centro;População Estimada - Total (Habitante);40.040
Centro Cívico;População Estimada - Total (Habitante);4.513
Cidade Industrial de Curitiba;População Estimada - Total (Habitante);176.914
Cristo Rei;População Estimada - Total (Habitante);19.197
Fanny;População Estimada - Total (Habitante);8.611
Fazendinha;População Estimada - Total (Habitante);25.391
Ganchinho;População Estimada - Total (Habitante);22.324
Guabirotuba;População Estimada - Total (Habitante);10.728
Guaí­ra;População Estimada - Total (Habitante);15.147
Hauer;População Estimada - Total (Habitante);11.804
Hugo Lange;População Estimada - Total (Habitante);4.514
Jardim Botânico;População Estimada - Total (Habitante);5.410
Jardim das Américas;População Estimada - Total (Habitante);15.386
Jardim Social;População Estimada - Total (Habitante);4.844
Juvevê;População Estimada - Total (Habitante);12.423
Lamenha Pequena;População Estimada - Total (Habitante);1.200
Lindóia;População Estimada - Total (Habitante);8.490
Mercês;População Estimada - Total (Habitante);12.456
Mossunguê;População Estimada - Total (Habitante);13.331
Novo Mundo;População Estimada - Total (Habitante);42.671
Orleans;População Estimada - Total (Habitante);8.516
Parolin;População Estimada - Total (Habitante);9.803
Pilarzinho;População Estimada - Total (Habitante);27.390
Pinheirinho;População Estimada - Total (Habitante);59.569
Portão;População Estimada - Total (Habitante);52.284
Prado Velho;População Estimada - Total (Habitante);4.772
Rebouças;População Estimada - Total (Habitante);13.891
Riviera;População Estimada - Total (Habitante);504
Santa Cândida;População Estimada - Total (Habitante);44.430
Santa Felicidade;População Estimada - Total (Habitante);33.476
Santa Quitéria;População Estimada - Total (Habitante);10.988
Santo Inácio;População Estimada - Total (Habitante);7.033
São Braz;População Estimada - Total (Habitante);24.156
São Francisco;População Estimada - Total (Habitante);4.885
São João;População Estimada - Total (Habitante);3.368
São Lourenço;População Estimada - Total (Habitante);6.130
São Miguel;População Estimada - Total (Habitante);7.467
Seminário;População Estimada - Total (Habitante);5.610
Sí­tio Cercado;População Estimada - Total (Habitante);101.808
Taboão;População Estimada - Total (Habitante);3.579
Tarumã;População Estimada - Total (Habitante);7.021
Tatuquara;População Estimada - Total (Habitante);58.383
Tingui;População Estimada - Total (Habitante);12.491
Uberaba;População Estimada - Total (Habitante);75.452
Umbará;População Estimada - Total (Habitante);23.457
Vila Izabel;População Estimada - Total (Habitante);13.535
Vista Alegre;População Estimada - Total (Habitante);10.968
Xaxim;População Estimada - Total (Habitante);59.879
<br/><br/>;;
